ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
c75ae6008025d80134bd14e9712f9d5c,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575,NA,c75ae6008025d80134bd14e9712f9d5c,5.2148790718206195,3.2223865764277697,0.8392771774199431,3.839478378685147,1.2329598645494065e-4,0.0016644958171416987,Launch plus 4.5 | F-LAR vs GC-LAR
42e1875ea3a84e3034ce5b2c02406f12,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus.2,NA,42e1875ea3a84e3034ce5b2c02406f12,91.16487907182062,3.2709842167616183,0.8576500518913236,3.8138914695432193,1.367955609882913e-4,0.0017002963943906749,Launch plus 4.5 | F-LAR vs GC-LAR
31217980cfdf305668ba9c8482a34e81,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.2,NA,31217980cfdf305668ba9c8482a34e81,7.11487907182062,3.711119114910937,0.8025011611595009,4.624440803984499,3.7561033148343498e-6,6.76098596670183e-5,Launch plus 4.5 | F-LAR vs GC-LAR
a728a1dce17d5afb4677e6cc919c2391,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.3,NA,a728a1dce17d5afb4677e6cc919c2391,13.26487907182062,4.659031449969757,0.877760274627192,5.307863188441253,1.1091784289777621e-7,2.2888948963417625e-6,Launch plus 4.5 | F-LAR vs GC-LAR
9f3ae9f6096976f00cd7c13a4717ff1c,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.4,NA,9f3ae9f6096976f00cd7c13a4717ff1c,19.342690513269012,5.220479398518904,0.6498536962269443,8.033314927389116,9.48737252612048e-16,4.098544931284048e-14,Launch plus 4.5 | F-LAR vs GC-LAR
c3e8496b70f7341450e298f29c5fa4e5,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Eubacterium]_xylanophilum_group.1,NA,c3e8496b70f7341450e298f29c5fa4e5,20.01487907182062,5.271161865074536,0.9855028551695041,5.348702783989306,8.858688147161653e-8,2.1260851553187964e-6,Launch plus 4.5 | F-LAR vs GC-LAR
bf8b632bb810c7e26b5a8902838e05ff,d__Bacteria,p__Bacillota,c__Clostridia,o__Clostridia_UCG-014,f__Incertae_Sedis,g__Incertae_Sedis.4,NA,bf8b632bb810c7e26b5a8902838e05ff,26.664879071820618,5.694266749288322,0.9642366204409999,5.905466177673289,3.516509292804177e-9,1.0850942960652889e-7,Launch plus 4.5 | F-LAR vs GC-LAR
22907d450b79c927e4ffe34a2d09d2aa,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnoclostridium,NA,22907d450b79c927e4ffe34a2d09d2aa,31.55853948366302,5.9424295426593225,0.6556137233363275,9.063918785011273,1.2584612158805196e-19,9.06092075433974e-18,Launch plus 4.5 | F-LAR vs GC-LAR
0570b4a067b34904d37cb5ddc848b221,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.5,NA,0570b4a067b34904d37cb5ddc848b221,32.5741017719527,5.988540563491379,0.7034620894511687,8.512954220693763,1.69557027892328e-17,9.156079506185712e-16,Launch plus 4.5 | F-LAR vs GC-LAR
bf34422106e5974ddf75216e2c05273c,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis.6,NA,bf34422106e5974ddf75216e2c05273c,69.56487907182061,7.094571143356809,0.9850453769562136,7.202278503432001,5.921458631784551e-13,2.1317251074424383e-11,Launch plus 4.5 | F-LAR vs GC-LAR
b0f809cbabf3ac99182581ec095868b2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,NA,b0f809cbabf3ac99182581ec095868b2,83.53303778998044,7.360505791201554,0.7970489081786437,9.234697790404391,2.590161498109922e-20,2.797374417958716e-18,Launch plus 4.5 | F-LAR vs GC-LAR
958d78a02bef69a795806f97adb117ea,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter.2,NA,958d78a02bef69a795806f97adb117ea,145.2205019547174,8.162416143359497,0.6231613062717322,13.098400143285277,3.3627127588133937e-39,7.26345955903693e-37,Launch plus 4.5 | F-LAR vs GC-LAR
